User;Age 
178329;1
178327;0
178324;0
178323;0
178322;0
178321;0
178317;0
178313;0
178311;1
178307;0
178422;0
178303;0
178300;0
178298;1
178296;-1
178295;0
178294;0
178293;0
178292;1
178286;0
178285;4
178284;1
178283;0
178281;0
178272;1
178269;0
178268;1
178267;0
178265;2
178264;0
178263;0
178262;0
178261;0
178260;0
178257;0
178251;0
178248;0
178245;0
178243;3
178242;0
178240;0
178237;0
178236;0
178231;0
178227;0
178226;0
178223;0
178214;1
178211;0
178198;0
178196;2
178195;2
178189;1
178183;0
178179;0
178178;0
178176;0
178175;0
178172;0
178171;1
178161;0
178159;0
178157;1
178150;0
178143;2
178140;1
178139;2
178136;0
178131;0
178128;0
178115;0
178113;-3
178112;0
178107;0
178105;0
178103;0
178100;0
178092;3
178089;0
178088;2
178087;0
178083;0
178082;0
178080;0
178079;0
178062;0
178060;0
178053;-1
178047;0
178043;0
178041;0
178037;0
178035;0
178029;0
178025;1
178019;-1
178009;0
178007;0
178004;0
178003;0
178000;-1
177997;0
177993;1
177988;10
177987;0
177986;0
177985;0
177983;0
177981;7
177976;0
177974;0
177969;0
177962;0
177958;1
177949;1
177947;0
177944;0
177943;0
177939;0
177937;0
177929;0
177924;1
177922;2
177920;0
177912;3
177910;5
177909;0
177908;3
177902;0
177899;1
177896;0
177894;1
177892;0
177891;0
177887;0
177886;0
177885;0
177883;0
177882;0
177878;0
177873;0
177872;0
177867;0
177857;0
177855;0
177852;0
177849;0
177846;0
177842;0
177841;0
177836;0
177834;0
177832;2
177829;0
177827;0
177818;0
177817;0
177807;1
177806;-2
177804;0
177803;0
177797;0
177795;-1
179697;0
177794;0
177792;2
177789;0
177787;-2
177786;0
177785;0
177783;1
177782;0
177781;0
177776;4
177774;0
177771;0
177769;0
177766;1
177762;0
177754;0
177752;0
177750;2
177745;1
177742;0
177740;0
177738;0
177732;0
177731;0
177729;0
177725;-1
177724;0
177722;0
177714;0
177713;0
177712;0
177711;0
177710;0
177703;1
177700;2
177699;2
177687;1
177685;0
177683;0
177681;1
177680;-2
177679;1
177678;0
177669;0
177665;0
177662;1
177661;0
177660;0
177659;0
177653;2
180341;0
177650;0
177647;0
177646;0
177645;0
177644;0
177642;0
177940;0
177640;0
177637;0
177635;0
177633;0
177622;-1
177621;-1
177619;0
177618;0
177617;1
177614;0
177613;0
177610;0
177609;0
177608;0
177607;2
177606;1
177598;0
177590;0
177589;0
177588;0
177587;0
177584;0
177583;0
177582;0
177576;0
179349;3
177575;0
177567;0
177565;0
177561;0
177559;1
177555;0
177548;0
177539;0
177529;0
177528;0
177525;-2
177522;3
177507;0
177504;1
177503;0
177502;0
177501;-2
177499;0
177492;0
177489;0
177483;-1
177479;0
177477;0
177469;0
177466;1
177460;0
177456;0
177451;-1
177448;7
177446;1
177438;0
177434;0
177433;0
177432;0
177429;1
177419;2
177411;0
177407;0
177406;0
177395;1
177391;1
177383;0
177382;-1
177377;5
177373;6
177371;1
177363;0
177360;2
177359;2
177354;0
177352;0
178349;0
177351;0
177350;0
177346;0
177345;0
177336;0
177330;0
177328;0
177322;1
177315;0
177313;1
177311;0
177309;0
177307;0
177302;0
177297;0
177294;1
177293;0
177290;0
177286;-2
177280;1
178458;0
177267;0
177264;0
177261;0
177252;0
177246;5
177753;0
177240;0
177238;0
177234;1
177233;0
177232;0
177230;0
177229;1
177225;0
177216;0
177215;0
177212;0
177211;0
177210;0
177206;0
177201;0
177199;1
177197;0
177191;1
177183;0
177177;2
177176;1
177175;0
177164;0
177160;1
177157;0
177156;1
177146;1
177141;0
177139;0
177138;0
177135;0
177134;0
177130;0
177129;0
177126;1
177117;1
177116;2
177114;1
177112;0
177109;2
177103;0
177097;1
177095;0
177093;0
177092;0
177091;0
177090;0
180495;0
177083;0
177078;0
177076;0
177075;4
177073;0
177070;0
177068;0
177065;0
177064;0
177062;0
177055;0
177053;1
177047;0
177046;0
177041;-1
177039;0
177037;0
177028;0
177012;0
177010;0
177003;1
177000;0
176997;1
176996;0
176989;0
176985;1
176984;2
176981;1
176973;0
176972;0
176971;0
176968;1
176963;0
176958;0
176953;3
176947;0
176946;0
176941;0
176939;-2
176932;0
176924;0
176923;1
176922;0
180119;0
176916;0
176915;1
176901;0
176899;-1
176897;1
176896;5
176892;0
176890;0
176886;1
176885;1
176884;0
176876;1
176873;0
176872;0
176871;0
176861;1
176859;2
176856;0
176854;2
176853;0
176852;4
179825;0
176848;0
176844;0
176842;0
176836;0
179867;0
176835;0
176833;0
176832;2
176821;0
176819;0
176815;0
176814;0
176812;0
176810;0
176807;4
176806;0
176798;0
176793;0
176791;0
176788;0
176777;0
176774;1
178224;0
176773;1
176771;0
176770;1
176767;1
176766;1
176757;2
176747;1
176746;0
176740;0
176736;1
176733;1
176731;5
176728;2
176726;1
176724;0
176719;0
176716;3
176712;1
176708;0
176699;0
176697;0
176694;0
176691;0
176684;0
176675;1
176673;0
176670;0
176668;1
176667;0
176666;0
176665;1
176661;0
176652;0
176647;0
176643;0
176627;0
176624;0
176622;0
176618;1
176617;2
176604;3
176602;1
176601;0
176596;0
176595;3
176591;0
176587;0
176581;0
176580;2
176578;0
176574;-1
176570;0
176567;1
176566;0
176562;-1
176557;0
176547;0
176536;0
176530;1
176528;0
176850;2
176527;0
176525;0
