Post;Up;Down;Total
1065;32;0;32
1066;3;0;3
1067;1;0;1
1068;1;0;1
1070;2;0;2
1071;2;0;2
1072;1;0;1
1073;1;0;1
1076;3;0;3
1077;2;0;2
1078;6;0;6
1080;1;0;1
1081;2;0;2
1082;2;0;2
1083;3;0;3
1084;7;0;7
1085;4;1;3
1086;1;0;1
1087;1;0;1
1088;14;0;14
1089;1;0;1
1090;1;0;1
1091;1;0;1
1093;2;0;2
1094;1;0;1
1095;1;1;0
1096;1;0;1
1097;2;0;2
1098;2;0;2
1100;2;0;2
1101;2;0;2
1102;2;0;2
1104;3;0;3
1105;1;0;1
1106;3;0;3
1107;1;0;1
1108;1;0;1
1109;2;0;2
1110;4;0;4
1111;3;0;3
1113;6;0;6
1115;2;0;2
1116;1;0;1
1117;2;2;0
1118;1;0;1
1119;0;1;-1
1120;1;0;1
1121;7;0;7
1123;2;0;2
1124;2;0;2
1125;1;0;1
1126;3;0;3
1127;0;1;-1
1131;1;0;1
1132;18;0;18
1133;2;0;2
1136;13;0;13
1137;1;0;1
1138;2;0;2
1139;3;0;3
1140;2;0;2
1142;1;0;1
1143;2;0;2
1144;1;0;1
1145;1;0;1
1146;1;0;1
1148;3;1;2
1149;2;0;2
1150;1;0;1
1151;2;0;2
1153;2;0;2
1154;5;0;5
1155;5;1;4
1157;1;0;1
1158;1;0;1
1159;2;0;2
1162;21;0;21
1165;2;0;2
1166;1;0;1
1167;30;0;30
1168;2;0;2
1169;1;0;1
1170;3;0;3
1171;1;0;1
1176;1;0;1
1177;5;0;5
1178;1;0;1
1180;1;0;1
1181;1;0;1
1183;1;0;1
1184;0;1;-1
1185;1;0;1
1186;1;0;1
1187;4;6;-2
1188;1;0;1
1189;27;1;26
1190;2;0;2
1193;1;0;1
1196;1;0;1
1197;8;0;8
1199;1;0;1
1201;3;0;3
1202;2;0;2
1203;3;0;3
1204;1;0;1
1206;1;0;1
1207;1;0;1
1208;1;0;1
1209;1;0;1
1210;0;3;-3
1211;1;0;1
1212;11;0;11
1215;1;0;1
1216;16;0;16
1217;2;0;2
1218;4;0;4
1219;1;1;0
1220;16;0;16
1221;3;0;3
1222;24;1;23
1223;1;0;1
1224;1;0;1
1225;0;1;-1
1228;1;0;1
1230;6;0;6
1231;2;0;2
1233;6;0;6
1234;13;0;13
1235;1;0;1
