User;Reputation 
1429 ; 101
1431 ; 130
1433 ; 101
1439 ; 150
1441 ; 108
1442 ; 3
1446 ; 118
1447 ; 1050
1448 ; 101
1449 ; 101
1450 ; 93
1451 ; 101
1452 ; 101
1454 ; 108
1458 ; 101
1460 ; 153
1461 ; 101
1462 ; 367
1463 ; 556
1465 ; 101
1470 ; 101
1472 ; 101
1476 ; 106
1477 ; 101
1480 ; 46
1481 ; 101
1484 ; 142
1486 ; 101
1489 ; 135
1493 ; 389
1494 ; 113
1495 ; 383
1496 ; 101
1498 ; 130
1499 ; 76
1502 ; 108
1504 ; 108
1506 ; 3
1509 ; 13793
1510 ; 31
1511 ; 522
1513 ; 178
1515 ; 138
1516 ; 13
1517 ; 70
1521 ; 2472
1522 ; 101
1524 ; 428
1527 ; 14
1531 ; 113
1532 ; 64
1534 ; 101
1535 ; 464
1537 ; 4132
1538 ; 147
1540 ; 101
1541 ; 19
1542 ; 111
1544 ; 11
1547 ; 101
1548 ; 1
1551 ; 108
1552 ; 126
1555 ; 343
1557 ; 31
1561 ; 141
1563 ; 101
1564 ; 145
1567 ; 112
1571 ; 164
1572 ; 120
1573 ; 128
1576 ; 252
1577 ; 101
1578 ; 8
1579 ; 311
1580 ; 107
1581 ; 77
1582 ; 128
1583 ; 106
1589 ; 101
1591 ; 101
1593 ; 101
1596 ; 23
1599 ; 15
1601 ; 6
1602 ; 206
1604 ; 101
1606 ; 202
1612 ; 101
1613 ; 181
1615 ; 101
1618 ; 117
1619 ; 128
1620 ; 145
1622 ; 101
1623 ; 17
1624 ; 101
1627 ; 101
1629 ; 101
1631 ; 73
1633 ; 101
1634 ; 101
1636 ; 155
1637 ; 131
1640 ; 318
1642 ; 110
1643 ; 6
1647 ; 101
1649 ; 352
1650 ; 108
1651 ; 29
1655 ; 104
1659 ; 101
1661 ; 11
1663 ; 560
1666 ; 121
1667 ; 108
1668 ; 101
1670 ; 420
1672 ; 101
1675 ; 6
1677 ; 17
1678 ; 149
1679 ; 101
1680 ; 101
1681 ; 16
1682 ; 415
1685 ; 15637
1686 ; 103
1687 ; 1917
1690 ; 1
1692 ; 103
1694 ; 128
1695 ; 463
1697 ; 182
1699 ; 1
1701 ; 101
1703 ; 101
1704 ; 13
1705 ; 133
1706 ; 103
1708 ; 101
1709 ; 103
1712 ; 101
1714 ; 171
1716 ; 97
1717 ; 66
1718 ; 438
1720 ; 3
1726 ; 1
1727 ; 101
1728 ; 113
1729 ; 142
1731 ; 108
1732 ; 1
1733 ; 3017
1737 ; 21
1739 ; 101
1740 ; 101
1741 ; 130
1742 ; 101
1743 ; 551
1745 ; 68
1748 ; 1026
1749 ; 101
1750 ; 101
1752 ; 70
1753 ; 77
1755 ; 1
1756 ; 712
1757 ; 155
1762 ; 131
1763 ; 590
1765 ; 121
1766 ; 361
1769 ; 695
1770 ; 18
1772 ; 101
1776 ; 101
1777 ; 33
1778 ; 195
1779 ; 1
1782 ; 218
1784 ; 101
1786 ; 33
1789 ; 137
1791 ; 101
1792 ; 131
1793 ; 101
1795 ; 111
1796 ; 113
1799 ; 106
1800 ; 6
1803 ; 135
1804 ; 133
1806 ; 125
1807 ; 101
1808 ; 111
1809 ; 3
1810 ; 14
1813 ; 101
1815 ; 1
1816 ; 111
1817 ; 169
1820 ; 101
1821 ; 101
1822 ; 176
1824 ; 16
1826 ; 126
1827 ; 101
1830 ; 16
1834 ; 101
1836 ; 21
1839 ; 165
1840 ; 116
1844 ; 338
1845 ; 108
1848 ; 8
1850 ; 194
1851 ; 121
1853 ; 16
1854 ; 101
1858 ; 5
1859 ; 474
1860 ; 1039
1861 ; 123
1862 ; 101
1863 ; 3
1865 ; 103
1866 ; 72
1868 ; 101
1869 ; 1493
1870 ; 3
1872 ; 106
1873 ; 101
1876 ; 130
1878 ; 1917
1880 ; 101
1881 ; 103
1882 ; 111
1884 ; 101
1890 ; 135
1892 ; 101
1893 ; 219
1898 ; 6
1899 ; 1
1900 ; 111
1901 ; 101
1902 ; 101
1903 ; 101
1904 ; 105
1905 ; 151
1907 ; 26
1910 ; 13
1911 ; 101
1915 ; 103
1916 ; 101
1917 ; 101
1918 ; 101
1919 ; 149
1921 ; 101
1922 ; 314
1923 ; 101
1925 ; 650
1926 ; 130
1927 ; 101
1930 ; 101
1931 ; 73
1935 ; 101
1936 ; 173
1937 ; 120
1939 ; 6
1940 ; 118
1941 ; 371
1942 ; 101
1943 ; 26
1945 ; 30
1946 ; 1
1947 ; 101
1948 ; 101
1950 ; 76
1952 ; 192
1956 ; 121
1957 ; 101
