Post;Score 
1298 ; 461
1299 ; 934
1301 ; 234
1303 ; 101
1304 ; 101
1305 ; 469
1306 ; 149
1307 ; 109
1309 ; 324
1310 ; 321
1311 ; 121
1312 ; 123
1313 ; 156
1314 ; 164
1315 ; 101
1316 ; 136
1317 ; 123
1318 ; 143
1320 ; 101
1321 ; 111
1322 ; 697
1323 ; 115
1324 ; 2871
1325 ; 455
1326 ; 222
1327 ; 101
1329 ; 101
1330 ; 233
1331 ; 331
1333 ; 101
1334 ; 101
1335 ; 101
1336 ; 101
1337 ; 215
1339 ; 316
1341 ; 139
1342 ; 372
1343 ; 101
1344 ; 411
1345 ; 82
1346 ; 115
1349 ; 1250
1350 ; 131
1351 ; 111
1352 ; 543
1353 ; 214
1354 ; 115
1355 ; 637
1356 ; 101
1357 ; 97
1358 ; 754
1359 ; 122
1361 ; 1296
1363 ; 306
1366 ; 123
1368 ; 250
1369 ; 369
1370 ; 101
1372 ; 298
1373 ; 101
1374 ; 218
1375 ; 64163
1376 ; 1475
1377 ; 101
1378 ; 118
1379 ; 136
1380 ; 185
1381 ; 131
1382 ; 726
1383 ; 228
1384 ; 101
1385 ; 819
1387 ; 971
1388 ; 101
1389 ; 256
1390 ; 984
1391 ; 156
1393 ; 867
1394 ; 101
1395 ; 533
1396 ; 108
1397 ; 145
1398 ; 212
1400 ; 640
1401 ; 1401
1402 ; 410
1403 ; 1393
1404 ; 1130
1405 ; 106
1406 ; 248
1407 ; 101
1408 ; 177
1409 ; 937
1412 ; 101
1413 ; 155
1414 ; 111
1415 ; 499
1416 ; 101
1417 ; 369
1419 ; 130
1421 ; 108
1422 ; 146
1423 ; 163
1424 ; 101
1425 ; 108
1426 ; 1125
1427 ; 345
1428 ; 539
1429 ; 101
1430 ; 21
1431 ; 110
1432 ; 429
1433 ; 1802
1434 ; 132
1435 ; 81309
1436 ; 2084
1437 ; 181
1438 ; 174
1439 ; 1699
1440 ; 4337
1441 ; 101
1442 ; 183
1443 ; 626
1445 ; 201
1446 ; 276
1447 ; 7969
1448 ; 101
1450 ; 564
1451 ; 193
1452 ; 205
1453 ; 81
1454 ; 195
1455 ; 101
1456 ; 155
1457 ; 101
1458 ; 133
1459 ; 106
1460 ; 186
1462 ; 119
1463 ; 9839
1464 ; 568
1465 ; 393
1466 ; 10671
1469 ; 209
1470 ; 530
1471 ; 145
1473 ; 101
1474 ; 48
1476 ; 123
1477 ; 101
1478 ; 762
1480 ; 101
1481 ; 101
1482 ; 185
1483 ; 299
1484 ; 206
1485 ; 86
1486 ; 108
1487 ; 101
1488 ; 168
1489 ; 734
1490 ; 123
1492 ; 155
1493 ; 106
1494 ; 403
1495 ; 128
1496 ; 2727
1497 ; 101
1498 ; 1382
